Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN15541220	W13-S3	W13-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541221	W13-S4	W13-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541222	W13-S5	W13-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541223	W13-blank	W13-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541224	W14-S1	W14-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541225	W14-S2	W14-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541226	W14-S3	W14-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541227	W14-S4	W14-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541228	W14-S5	W14-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541229	W14-blank	W14-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541230	W15-S1	W15-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541231	W15-S2	W15-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541232	W15-S3	W15-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541233	W15-S4	W15-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541234	W15-S5	W15-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541235	W15-blank	W15-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541236	W17-S1	W17-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541237	W17-S2	W17-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541238	W17-S3	W17-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541239	W17-S4	W17-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541240	W17-S5	W17-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541241	W17-blank	W17-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541242	W18-S1	W18-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541243	W18-S2	W18-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541244	W18-S3	W18-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541245	W18-S4	W18-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541246	W18-S5	W18-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541247	W18-blank	W18-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541248	SG21-S1	SG21-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541249	SG21-S2	SG21-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541250	SG21-S3	SG21-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541251	SG21-S4	SG21-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541252	SG21-S5	SG21-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541253	SG21-blank	SG21-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541254	SG22-S1	SG22-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541255	SG22-S2	SG22-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541256	SG22-S3	SG22-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541257	SG22-S4	SG22-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541258	SG22-S5	SG22-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541259	SG22-blank	SG22-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541260	SG23-S1	SG23-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541261	SG23-S2	SG23-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541262	SG23-S3	SG23-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541263	SG23-S4	SG23-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541264	SG23-S5	SG23-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541265	SG23-blank	SG23-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541266	pos2	pos2	fish metagenome	496924	PRJNA646357
SAMN15541267	neg2	neg2	metagenome	256318	PRJNA646357
SAMN15541268	24-S1	24-S1	freshwater metagenome	449393	PRJNA646357
SAMN15541269	24-S2	24-S2	freshwater metagenome	449393	PRJNA646357
SAMN15541270	24-S3	24-S3	freshwater metagenome	449393	PRJNA646357
SAMN15541271	24-S4	24-S4	freshwater metagenome	449393	PRJNA646357
SAMN15541272	24-S5	24-S5	freshwater metagenome	449393	PRJNA646357
SAMN15541273	24-blank	24-blank	freshwater metagenome	449393	PRJNA646357
SAMN15541274	pos3	pos3	fish metagenome	496924	PRJNA646357
SAMN15541275	neg3	neg3	metagenome	256318	PRJNA646357
